id,name,weekly_rent,suburb,city,property_type,room_type,bedrooms,bathrooms,parking,pet_friendly,school_zone,commute_time,short_description,latitude,longitude,image_url
p001,Harbour View Studio,520,Sydney CBD,Sydney,Apartment,1B1B,1,1,0,No,No,12,"Compact city apartment close to offices, trains, and dining.",-33.8651,151.2099,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?auto=format&fit=crop&w=900&q=80
p002,Green Square Modern Apartment,760,Zetland,Sydney,Apartment,2B2B,2,2,1,Yes,No,22,"Modern apartment with balcony, parking, and easy city access.",-33.9069,151.2089,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=900&q=80
p003,Quiet Family House,920,Chatswood,Sydney,House,3B2B,3,2,2,Yes,Yes,35,"Family house near schools, shopping, and train connections.",-33.7969,151.1839,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=900&q=80
p004,Inner West Townhouse,840,Newtown,Sydney,Townhouse,2B1B,2,1,1,Yes,No,28,"Stylish townhouse near cafes, parks, and public transport.",-33.8983,151.1776,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=900&q=80
p005,Parramatta Riverside Apartment,610,Parramatta,Sydney,Apartment,1B1B,1,1,1,No,No,42,"Affordable riverside apartment close to Parramatta CBD.",-33.8136,151.0034,https://images.unsplash.com/photo-1493809842364-78817add7ffb?auto=format&fit=crop&w=900&q=80
p006,Coastal Light Apartment,980,Bondi,Sydney,Apartment,2B2B,2,2,1,Yes,No,38,"Bright coastal apartment with beach access and local cafes.",-33.8915,151.2767,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=900&q=80
p007,North Shore Townhouse,890,St Leonards,Sydney,Townhouse,3B2B,3,2,1,No,Yes,25,"Low-maintenance townhouse near hospitals and train links.",-33.8233,151.1987,https://images.unsplash.com/photo-1605276374104-dee2a0ed3cd6?auto=format&fit=crop&w=900&q=80
p008,Budget Friendly Share-Style Unit,430,Burwood,Sydney,Apartment,2B1B,2,1,0,No,Yes,32,"Value-focused unit near shops, buses, and rail services.",-33.8774,151.1034,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?auto=format&fit=crop&w=900&q=80
p009,Garden House Near Station,1060,Strathfield,Sydney,House,3B2B,3,2,2,Yes,Yes,30,"Spacious house with garden, parking, and school access.",-33.8717,151.0949,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=900&q=80
p010,Surry Hills Warehouse Loft,720,Surry Hills,Sydney,Apartment,1B1B,1,1,0,Yes,No,15,"Character loft close to creative offices and light rail.",-33.8846,151.2123,https://images.unsplash.com/photo-1554995207-c18c203602cb?auto=format&fit=crop&w=900&q=80
p011,Marrickville Courtyard Townhouse,870,Marrickville,Sydney,Townhouse,2B2B,2,2,1,Yes,No,34,"Courtyard townhouse near breweries, cafes, and parks.",-33.9106,151.1558,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&w=900&q=80
p012,Manly Beachside Apartment,1150,Manly,Sydney,Apartment,2B2B,2,2,1,No,Yes,50,"Premium beachside apartment with ferry and coastal lifestyle.",-33.7963,151.285,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?auto=format&fit=crop&w=900&q=80
p013,Ashfield Character House,780,Ashfield,Sydney,House,2B1B,2,1,1,Yes,Yes,33,"Character home with a small yard and village convenience.",-33.8881,151.1244,https://images.unsplash.com/photo-1598228723793-52759bba239c?auto=format&fit=crop&w=900&q=80
p014,Rhodes Waterfront Residence,940,Rhodes,Sydney,Apartment,3B2B,3,2,2,No,No,40,"Waterfront apartment with extra space and two parking spots.",-33.8296,151.0858,https://images.unsplash.com/photo-1560185009-dddeb820c7b7?auto=format&fit=crop&w=900&q=80
p015,Randwick Parkside Home,1180,Randwick,Sydney,House,3B2B,3,2,2,Yes,Yes,36,"Parkside family home close to schools and hospitals.",-33.9173,151.241,https://images.unsplash.com/photo-1600047509807-ba8f99d2cdde?auto=format&fit=crop&w=900&q=80
p016,Redfern Compact City Apartment,560,Redfern,Sydney,Apartment,1B1B,1,1,0,No,No,18,"Efficient apartment near universities, trains, and city jobs.",-33.8928,151.2041,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?auto=format&fit=crop&w=900&q=80
